Level,Unit_name,Unit_Description,Content_Type,Content_Name,Unit_Sub_Unit_name,Unit_Sub_Unit_url
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Teen numbers,Teens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-teens/v/teens-and-ten
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Intro to place value,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Place value example: 25,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Place value example: 42,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Groups of ten objects,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Tens and ones,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,2-digit place value challenge,Tens,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-tens/v/place-value-introduction
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Greater than and less than symbols,Comparing 2-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/v/greater-than-and-less-than-symbols
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Comparison symbols review,Comparing 2-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/v/greater-than-and-less-than-symbols
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Compare 2-digit numbers,Comparing 2-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/v/greater-than-and-less-than-symbols
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Compare 2-digit numbers 2,Comparing 2-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-two-digit-compare/v/greater-than-and-less-than-symbols
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Regrouping whole numbers: 675,Hundreds,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/v/regrouping-whole-numbers
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Regroup whole numbers,Hundreds,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/v/regrouping-whole-numbers
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,"Hundreds, tens, and ones",Hundreds,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/v/regrouping-whole-numbers
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Write numbers in different forms,Hundreds,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-hundreds/v/regrouping-whole-numbers
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Video,Comparing whole numbers,Comparing three-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-three-digit-compare/v/comparing-whole-numbers
Early Math,Unit 3: Place value (tens and hundreds),"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",Lesson,Compare 3-digit numbers,Comparing three-digit numbers,https://www.khanacademy.org/math/early-math/cc-early-math-place-value-topic/cc-early-math-three-digit-compare/v/comparing-whole-numbers
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Adding within 20 using place value blocks,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Adding within 20 using ten frames,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Adding 7 + 6,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Adding 8 + 7,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Adding 5 + 3 + 6,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Lesson,Add within 20 visually,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Lesson,Add within 20,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Lesson,Add 3 numbers,Addition within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-add-20/v/adding-within-20-using-place-value-blocks
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Subtract within 20 using a number line,Subtraction within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-sub-20/v/subtract-within-20-using-a-number-line
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Subtract within 20 using place value blocks,Subtraction within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-sub-20/v/subtract-within-20-using-a-number-line
Early Math,Unit 4: Addition and subtraction within 20,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap.",Video,Subtract within 20 using ten frames,Subtraction within 20,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-20/cc-early-math-sub-20/v/subtract-within-20-using-a-number-line
