SL_Unit_Name,Level,Unit_Name,Content_Type,Content_Name,Unit_Sub_Unit_Name,Unit_Description,,
Word Problems,Fifth Grade,Unit 14: Converting units of measure,Video,Measurement word problem: tea party,Converting metric units word problems,"Just as there's more than one way to measure something, there's more than one unit of measure! In this unit, you'll learn all about converting between different units of measure, time to metric and US customary measurements, so you can solve any word problem thrown your way.",,
Word Problems,Fifth Grade,Unit 14: Converting units of measure,Video,Time word problem: Susan's break,Converting metric units word problems,"Just as there's more than one way to measure something, there's more than one unit of measure! In this unit, you'll learn all about converting between different units of measure, time to metric and US customary measurements, so you can solve any word problem thrown your way.",,
Counting,Fifth Grade,Unit 10: Powers of ten,Video,Powers of ten: FAQ,Comparing decimal place values,"Math is all about patterns, and there's no better place to see that than with powers of ten. In this unit, you'll learn the patterns in multiplying and dividing by 10, 100, and 1000. Get ready to zoom through zeros!",,
Approximation and Rounding,Fourth Grade,"Unit 2: Addition, subtraction, and estimation",Lesson,Round whole numbers,Rounding whole numbers,"Addition and subtraction are key skills for any math whiz. In this unit, you'll sharpen those skills by working with multi-digit numbers. You'll also learn how to round and estimate, so you can quickly make calculations even when you don't have a calculator handy.",,
Approximation and Rounding,Fourth Grade,"Unit 2: Addition, subtraction, and estimation",Lesson,Round whole numbers to different place values,Rounding whole numbers,"Addition and subtraction are key skills for any math whiz. In this unit, you'll sharpen those skills by working with multi-digit numbers. You'll also learn how to round and estimate, so you can quickly make calculations even when you don't have a calculator handy.",,
Counting,Early Math,Unit 1: Counting,Lesson,Numbers to 100,Numbers 0 to 120,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!",,
Counting,Early Math,Unit 1: Counting,Lesson,Numbers to 120,Numbers 0 to 120,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!",,
Counting,Early Math,Unit 1: Counting,Video,Counting by category,Comparing small numbers,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!",,
Counting,Early Math,Unit 1: Counting,Lesson,Compare numbers of objects 1,Comparing small numbers,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Lesson,Teen numbers,Teens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Video,Intro to place value,Tens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Video,Place value example: 25,Tens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Place Value,Early Math,Unit 3: Place value (tens and hundreds),Video,Place value example: 42,Tens,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more.",,
Measurement Length,Early Math,Unit 7: Measurement and data,Video,"Measuring lengths (cm, m)",Measuring length,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Measurement Length,Early Math,Unit 7: Measurement and data,Video,Measuring lengths with different units,Measuring length,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Measurement Length,Early Math,Unit 7: Measurement and data,Video,Measuring lengths in different units,Measuring length,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Measurement Length,Early Math,Unit 7: Measurement and data,Video,Measuring lengths with different units,Measuring length,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Data Handling ,Early Math,Unit 7: Measurement and data,Lesson,Make bar graphs,Bar graphs,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Data Handling ,Early Math,Unit 7: Measurement and data,Lesson,Solve problems with bar graphs,Bar graphs,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Data Handling,Early Math,Unit 7: Measurement and data,Video,Read line plots,Line plots,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Time,Early Math,Unit 7: Measurement and data,Video,Telling time (unlabeled clock),Time,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Time,Early Math,Unit 7: Measurement and data,Lesson,Telling time on a number line,Time,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Time,Early Math,Unit 7: Measurement and data,Lesson,Tell time to hour or half hour,Time,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Time,Early Math,Unit 7: Measurement and data,Lesson,Telling time on a clock,Time,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Money,Early Math,Unit 7: Measurement and data,Video,U.S. coins review,Money,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Money,Early Math,Unit 7: Measurement and data,Lesson,Identify the value of US coins and dollars,Money,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Money,Early Math,Unit 7: Measurement and data,Lesson,Count money (U.S.),Money,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!",,
Circles and Other Shapes,Early Math,Unit 8: Geometry,Lesson,Analyze shapes by angles,Properties of shapes,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!",,
Circles and Other Shapes,Early Math,Unit 8: Geometry,Video,Composing shapes,Composing shapes,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!",,
Circles and Other Shapes,Early Math,Unit 8: Geometry,Lesson,Compose shapes,Composing shapes,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!",,
Circles and Other Shapes,Early Math,Unit 8: Geometry,Video,Halves and fourths,Fractions of shapes,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!",,
Circles and Other Shapes,Early Math,Unit 8: Geometry,Video,Equal parts of circles and rectangles,Fractions of shapes,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!",,
Multiplication,Third Grade,Unit 2: 1-digit multiplication,Lesson,Multiply by 3,Multiply by 3 or 6,"What's 2 times 5? How about 4 times 7? If you're not sure, don't fear! Khan Academy is here. You'll learn all about the distributive property and how it can help you visualize multiplying numbers in a whole new way so you can multiply like a pro.",,
Multiplication,Third Grade,Unit 2: 1-digit multiplication,Lesson,Multiply by 6,Multiply by 3 or 6,"What's 2 times 5? How about 4 times 7? If you're not sure, don't fear! Khan Academy is here. You'll learn all about the distributive property and how it can help you visualize multiplying numbers in a whole new way so you can multiply like a pro.",,
Multiplication,Third Grade,Unit 2: 1-digit multiplication,Lesson,Multiply by 3 and 6,Multiply by 3 or 6,"What's 2 times 5? How about 4 times 7? If you're not sure, don't fear! Khan Academy is here. You'll learn all about the distributive property and how it can help you visualize multiplying numbers in a whole new way so you can multiply like a pro.",,
Division,Third Grade,Unit 4: Intro to division,Lesson,Divide by 7,"Divide by 7, 8, or 9","Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication.",,
Division,Third Grade,Unit 4: Intro to division,Lesson,Divide by 8,"Divide by 7, 8, or 9","Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication.",,
Division,Third Grade,Unit 4: Intro to division,Lesson,Divide by 9,"Divide by 7, 8, or 9","Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication.",,
Division,Third Grade,Unit 4: Intro to division,Video,Visualizing division with arrays,Division intro,"Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Video,Patterns with multiplying even and odd numbers,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Video,Patterns in hundreds chart,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Video,Patterns in multiplication tables,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Number Patterns,Third Grade,Unit 8: Arithmetic patterns and problem solving,Video,Recognizing number patterns,Patterns in arithmetic,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them. You'll tackle word problems, master estimation, and learn to write expressions like a pro.",,
Circles and Other Shapes,Third Grade,Unit 9: Quadrilaterals,Lesson,Analyze quadrilaterals,Quadrilaterals,"With four sides and four angles, quadrilaterals might seem pretty straight-forward. But there's a lot more to these shapes than you might think! In this unit, you'll learn all about these four-sided shapes and hone your skills at identifying, analyzing and classifying them.",,
Circles and Other Shapes,Third Grade,Unit 9: Quadrilaterals,Lesson,Classify quadrilaterals,Quadrilaterals,"With four sides and four angles, quadrilaterals might seem pretty straight-forward. But there's a lot more to these shapes than you might think! In this unit, you'll learn all about these four-sided shapes and hone your skills at identifying, analyzing and classifying them.",,
